2.6626 	WARNING 	Movie2 stim could not be imported and won't be available
3.6518 	WARNING 	TextBox stim could not be imported and won't be available.
3.6518 	WARNING 	TextBox Font Manager Found No Fonts.
5.6149 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

5.6159 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x106a40f8>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.6159 	EXP 	window1: recordFrameIntervals = False
5.7838 	EXP 	window1: recordFrameIntervals = True
5.8506 	WARNING 	t of last frame was 21.07ms (=1/47)
5.9837 	WARNING 	t of last frame was 20.56ms (=1/48)
6.0505 	WARNING 	t of last frame was 21.51ms (=1/46)
6.1839 	WARNING 	t of last frame was 20.90ms (=1/47)
6.5519 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
7.4544 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

7.5859 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Instructions will go here.', units=u'norm', win=Window(...), wrapWidth=1)
7.6095 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
7.6208 	EXP 	Created question = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='question', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 255.,  255.,  255.]), text=u'Whose voice did you hear?', units=u'norm', win=Window(...), wrapWidth=2)
7.6214 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0xa2e5af0>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
7.6235 	EXP 	Created self_box = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-1.0, fillColor='#A6A9FF', fillColorSpace='hex', fillRGB=array([166, 169, 255]), interpolate=True, lineColor='#3E45FA', lineColorSpace='hex', lineRGB=array([ 62,  69, 250]), lineWidth=5, name='self_box', opacity=1.0, ori=array(0.0), pos=array([-0.5, -0.5]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
7.6284 	EXP 	Created self_label = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='self_label', opacity=1.0, ori=0, pos=array([-0.5, -0.5]), rgb=array([ 0.,  0.,  0.]), text=u'Mine', units=u'norm', win=Window(...), wrapWidth=1)
7.6290 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0xa2e5af0>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
7.6311 	EXP 	Created other_box = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-3.0, fillColor='#FFFCA6', fillColorSpace='hex', fillRGB=array([255, 252, 166]), interpolate=True, lineColor='#FAF33E', lineColorSpace='hex', lineRGB=array([250, 243,  62]), lineWidth=5, name='other_box', opacity=1.0, ori=array(0.0), pos=array([ 0.5, -0.5]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
7.6364 	EXP 	Created other_label = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='other_label', opacity=1.0, ori=0, pos=array([ 0.5, -0.5]), rgb=array([ 0.,  0.,  0.]), text=u'Other', units=u'norm', win=Window(...), wrapWidth=1)
7.6494 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Thank you for participating!', units=u'norm', win=Window(...), wrapWidth=1)
7.6559 	EXP 	Created results_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='results_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=2)
7.6703 	EXP 	text_4: autoDraw = True
12.6658 	EXP 	Imported /Volumes/Macintosh HD/Users/poppe076/Desktop/source_monitoring_task/data/ok_source_monitoring_2015_Jun_24_1539_wordlist.csv as conditions, 90 conditions, 5 params
12.6670 	EXP 	Created sequence: sequential, trialTypes=90, nReps=1, seed=None
12.7943 	EXP 	New trial (rep=0, index=0): {'word': 'word3.26', 'amount': 0.5, 'list': 'list3', 'trialtype': 'pitch higher', 'block': 0}
12.8285 	EXP 	text_4: autoDraw = False
12.8285 	EXP 	text: text = 'word3.26'
13.8305 	EXP 	text: autoDraw = True
15.8953 	EXP 	text: autoDraw = False
15.8953 	EXP 	question: autoDraw = True
15.8953 	EXP 	self_box: autoDraw = True
15.8953 	EXP 	self_label: autoDraw = True
15.8953 	EXP 	other_box: autoDraw = True
15.8953 	EXP 	other_label: autoDraw = True
15.8953 	EXP 	self_box: fillColor = '#A6A9FF'
15.8953 	EXP 	other_box: fillColor = '#FFFCA6'
15.9124 	EXP 	self_box: fillColor = '#A6A9FF'
15.9124 	EXP 	other_box: fillColor = '#FFFCA6'
15.9286 	EXP 	self_box: fillColor = '#A6A9FF'
15.9286 	EXP 	other_box: fillColor = '#FFFCA6'
15.9504 	EXP 	self_box: fillColor = '#A6A9FF'
15.9504 	EXP 	other_box: fillColor = '#FFFCA6'
15.9662 	EXP 	self_box: fillColor = '#A6A9FF'
15.9662 	EXP 	other_box: fillColor = '#FFFCA6'
15.9798 	EXP 	self_box: fillColor = '#A6A9FF'
15.9798 	EXP 	other_box: fillColor = '#FFFCA6'
15.9958 	EXP 	self_box: fillColor = '#A6A9FF'
15.9958 	EXP 	other_box: fillColor = '#FFFCA6'
16.0132 	EXP 	self_box: fillColor = '#A6A9FF'
16.0132 	EXP 	other_box: fillColor = '#FFFCA6'
16.0320 	EXP 	self_box: fillColor = '#A6A9FF'
16.0320 	EXP 	other_box: fillColor = '#FFFCA6'
16.0515 	EXP 	self_box: fillColor = '#A6A9FF'
16.0515 	EXP 	other_box: fillColor = '#FFFCA6'
16.0630 	EXP 	self_box: fillColor = '#A6A9FF'
16.0630 	EXP 	other_box: fillColor = '#FFFCA6'
16.0792 	EXP 	self_box: fillColor = '#A6A9FF'
16.0792 	EXP 	other_box: fillColor = '#FFFCA6'
16.0959 	EXP 	self_box: fillColor = '#A6A9FF'
16.0959 	EXP 	other_box: fillColor = '#FFFCA6'
16.1134 	EXP 	self_box: fillColor = '#A6A9FF'
16.1134 	EXP 	other_box: fillColor = '#FFFCA6'
16.1345 	EXP 	self_box: fillColor = '#A6A9FF'
16.1345 	EXP 	other_box: fillColor = '#FFFCA6'
16.1498 	EXP 	self_box: fillColor = '#A6A9FF'
16.1498 	EXP 	other_box: fillColor = '#FFFCA6'
16.1626 	EXP 	self_box: fillColor = '#A6A9FF'
16.1626 	EXP 	other_box: fillColor = '#FFFCA6'
16.1803 	EXP 	self_box: fillColor = '#A6A9FF'
16.1803 	EXP 	other_box: fillColor = '#FFFCA6'
16.1988 	EXP 	self_box: fillColor = '#A6A9FF'
16.1988 	EXP 	other_box: fillColor = '#FFFCA6'
16.2188 	EXP 	self_box: fillColor = '#A6A9FF'
16.2188 	EXP 	other_box: fillColor = '#FFFCA6'
16.2489 	EXP 	self_box: fillColor = '#A6A9FF'
